Name,Address,Phone
Govt. Shadab Training Institute for M.C.C," 128-Khyber Block,  Allama Iqbal Town Lahore.",042-37812549
Govt. Shadab School for M.R, D.G. Khan,
Govt. Shadab Training Institute (MR) ,Multan,061-9220173
Govt. Special Education Centre for (MRC)," Street #02, Y-Block, Tariq Bin Zaid Road, Sahiwal",040-9200083
Govt. Shadab School for M.R," Faisalabad. House No: 863-P, Street No: 28, B-Block Ameen Town Canal Road, Faisalabad",041-8505481
Govt. Shadab School for M.R," Jhang. Satellite Town Near Gojhra Road, Jhang",047-9200379
Govt. Special Education Center (MCC)," Street No: 22, Y-Block, New Satellite Town, Sargodha",048-3215772
Govt. Special Education Centre (MRC)," Model Town A-Block, Bahawalpur",062-9255057
Govt. Shadab Institute for M.CC," 4-Z, Block Peoples Colony, Gujranwala",055-420067
